연령,직업군,결혼여부,학력,신용카드소지여부,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,p_days,과거통화횟수,계약여부,연락일자,카드종류
55,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,269,2,,0,no,2018-01-15,141
55,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,135,1,,0,no,2018-01-15,142
50,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,161,1,,0,no,2018-01-17,143
45,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,787,1,,0,no,2018-01-17,144
55,미취업자,결혼,석박사,미확인,대출있음,대출있음,유선전화,145,1,,0,no,2018-01-17,145
25,기술자,미혼,대졸학사,없음,대출있음,없음,유선전화,174,1,,0,no,2018-01-17,146
47,기업가,결혼,대졸학사,미확인,없음,없음,유선전화,449,1,,0,no,2018-01-17,147
51,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,812,1,,0,no,2018-01-17,148
42,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,164,1,,0,no,2018-01-17,149
42,산업노동자,결혼,검정고시,미확인,없음,없음,유선전화,366,1,,0,no,2018-01-18,150
48,회사원,결혼,전문학교,없음,없음,없음,유선전화,357,1,,0,no,2018-01-18,151
37,회사원,결혼,대졸학사,없음,없음,없음,유선전화,232,1,,0,no,2018-01-18,152
44,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,91,1,,0,no,2018-01-19,153
33,회사원,결혼,미확인,없음,대출있음,없음,유선전화,273,1,,0,no,2018-01-19,154
56,회사원,결혼,고졸,없음,대출있음,없음,유선전화,158,2,,0,no,2018-01-19,155
44,산업노동자,미혼,중졸,미확인,대출있음,대출있음,유선전화,177,1,,0,no,2018-01-19,156
41,공무원,결혼,검정고시,없음,없음,없음,유선전화,200,1,,0,no,2018-01-20,157
44,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,172,1,,0,no,2018-01-20,158
47,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,176,1,,0,no,2018-01-20,159
57,미확인,결혼,미확인,미확인,없음,없음,유선전화,211,1,,0,no,2018-01-20,160
37,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,214,1,,0,no,2018-01-20,161
41,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,1575,1,,0,yes,2018-01-20,162
55,기술자,결혼,대졸학사,없음,없음,없음,유선전화,349,1,,0,no,2018-01-20,163
33,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,337,2,,0,no,2018-01-21,164
55,공무원,결혼,미확인,미확인,대출있음,없음,유선전화,272,1,,0,no,2018-01-21,165
42,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,208,1,,0,no,2018-01-21,166
50,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,193,1,,0,no,2018-01-21,167
51,산업노동자,결혼,중졸,미확인,미확인,미확인,유선전화,212,1,,0,no,2018-01-21,168
38,회사원,결혼,전문학교,미확인,없음,없음,유선전화,165,2,,0,no,2018-01-21,169
49,기업가,결혼,대졸학사,미확인,대출있음,없음,유선전화,1042,1,,0,yes,2018-01-22,170
38,기술자,미혼,대졸학사,없음,없음,대출있음,유선전화,20,1,,0,no,2018-01-22,171
31,회사원,이혼,전문학교,없음,없음,없음,유선전화,246,1,,0,no,2018-01-22,172
41,공무원,결혼,검정고시,없음,없음,없음,유선전화,529,2,,0,no,2018-01-22,173
39,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,192,1,,0,no,2018-01-25,174
49,기술자,결혼,고졸,없음,없음,없음,유선전화,1467,1,,0,yes,2018-01-25,175
34,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,188,2,,0,no,2018-01-25,176
35,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,180,2,,0,no,2018-01-25,177
57,미확인,결혼,미확인,미확인,대출있음,없음,유선전화,48,1,,0,no,2018-01-25,178
60,회사원,결혼,미확인,미확인,없음,대출있음,유선전화,213,2,,0,no,2018-01-26,179
33,미취업자,결혼,고졸,없음,없음,없음,유선전화,545,1,,0,no,2018-01-26,180
42,산업노동자,결혼,검정고시,없음,없음,대출있음,유선전화,583,1,,0,no,2018-01-26,181
45,서비스종사자,결혼,석박사,없음,대출있음,없음,유선전화,221,1,,0,no,2018-01-27,182
42,공무원,결혼,대졸학사,없음,없음,없음,유선전화,426,1,,0,no,2018-01-27,183
53,회사원,이혼,대졸학사,미확인,없음,없음,유선전화,287,1,,0,no,2018-01-27,184
37,기술자,미혼,석박사,없음,없음,없음,유선전화,197,1,,0,no,2018-01-27,185
44,산업노동자,결혼,검정고시,없음,없음,없음,유선전화,257,1,,0,no,2018-01-27,186
54,서비스종사자,결혼,미확인,없음,대출있음,없음,유선전화,229,1,,0,no,2018-01-27,187
49,산업노동자,결혼,중졸,없음,없음,없음,유선전화,55,3,,0,no,2018-01-27,188
54,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,400,1,,0,no,2018-01-28,189
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,197,1,,0,no,2018-01-28,190
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,190,1,,0,no,2018-01-28,191
43,서비스종사자,미혼,전문학교,미확인,없음,없음,유선전화,21,1,,0,no,2018-01-28,192
34,주부,결혼,검정고시,없음,대출있음,없음,유선전화,300,2,,0,no,2018-01-28,193
35,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,123,2,,0,no,2018-01-29,194
42,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,293,1,,0,no,2018-01-29,195
43,기술자,결혼,미확인,미확인,대출있음,대출있음,유선전화,325,1,,0,no,2018-01-29,196
60,은퇴,이혼,대졸학사,미확인,없음,없음,유선전화,514,1,,0,no,2018-01-29,197
58,미취업자,결혼,중졸,미확인,없음,없음,유선전화,849,2,,0,no,2018-01-31,198
35,서비스종사자,이혼,전문학교,없음,대출있음,없음,유선전화,194,1,,0,no,2018-01-31,199
55,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,212,2,,0,no,2018-01-31,200
37,공무원,결혼,대졸학사,없음,없음,없음,유선전화,337,2,,0,no,2018-01-31,201
36,산업노동자,결혼,전문학교,없음,없음,없음,유선전화,286,1,,0,no,2018-01-31,202
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,247,2,,0,no,2018-01-31,203
57,산업노동자,이혼,미확인,미확인,대출있음,없음,유선전화,518,1,,0,no,2018-02-01,204
56,회사원,결혼,미확인,없음,대출있음,없음,유선전화,364,1,,0,no,2018-02-01,205
48,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,178,1,,0,no,2018-02-02,206
40,산업노동자,결혼,전문학교,미확인,대출있음,없음,유선전화,98,1,,0,no,2018-02-02,207
49,산업노동자,이혼,전문학교,없음,없음,없음,유선전화,439,1,,0,no,2018-02-02,208
41,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,139,1,,0,no,2018-02-02,209
45,기술자,결혼,전문학교,없음,대출있음,없음,유선전화,79,1,,0,no,2018-02-02,210
32,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,175,1,,0,no,2018-02-02,211
42,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,262,2,,0,no,2018-02-02,212
50,회사원,결혼,검정고시,없음,없음,없음,유선전화,61,1,,0,no,2018-02-03,213
31,기술자,이혼,석박사,없음,대출있음,대출있음,유선전화,78,1,,0,no,2018-02-03,214
56,은퇴,결혼,중졸,없음,대출있음,없음,유선전화,102,2,,0,no,2018-02-03,215
41,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,579,1,,0,yes,2018-02-04,216
37,산업노동자,결혼,검정고시,없음,대출있음,대출있음,유선전화,143,1,,0,no,2018-02-04,217
41,기술자,결혼,석박사,미확인,없음,없음,유선전화,677,1,,0,no,2018-02-04,218
35,산업노동자,결혼,미확인,없음,대출있음,없음,유선전화,267,1,,0,no,2018-02-04,219
37,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,345,1,,0,no,2018-02-04,220
52,공무원,결혼,대졸학사,없음,없음,없음,유선전화,185,1,,0,no,2018-02-04,221
39,공무원,이혼,대졸학사,없음,없음,없음,유선전화,207,1,,0,no,2018-02-04,222
39,주부,결혼,중졸,미확인,없음,없음,유선전화,69,2,,0,no,2018-02-05,223
56,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,100,2,,0,no,2018-02-05,224
34,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,125,2,,0,no,2018-02-05,225
45,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,461,1,,0,yes,2018-02-05,226
43,미취업자,미혼,대졸학사,없음,대출있음,없음,유선전화,240,1,,0,no,2018-02-05,227
56,공무원,결혼,미확인,없음,대출있음,없음,유선전화,70,1,,0,no,2018-02-05,87
39,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,193,1,,0,no,2018-02-05,88
53,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,136,1,,0,no,2018-02-07,89
38,미확인,이혼,전문학교,미확인,대출있음,없음,유선전화,73,1,,0,no,2018-02-07,90
42,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,528,1,,0,no,2018-02-07,91
42,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,541,1,,0,no,2018-02-07,92
35,회사원,미혼,전문학교,없음,대출있음,없음,유선전화,338,1,,0,no,2018-02-07,93
40,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,163,1,,0,no,2018-02-08,94
51,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,87,1,,0,no,2018-02-08,95
60,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,301,1,,0,no,2018-02-08,96
56,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,46,1,,0,no,2018-02-08,97
39,서비스종사자,이혼,전문학교,미확인,대출있음,없음,유선전화,52,1,,0,no,2018-02-09,98
56,기업가,결혼,미확인,미확인,없음,없음,유선전화,204,1,,0,no,2018-02-09,99
40,산업노동자,결혼,미확인,없음,대출있음,대출있음,유선전화,155,1,,0,no,2018-02-09,100
36,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,98,1,,0,no,2018-02-09,101
51,산업노동자,결혼,미확인,미확인,대출있음,없음,유선전화,71,1,,0,no,2018-02-10,102
51,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,243,1,,0,no,2018-02-10,103
43,기술자,미혼,석박사,없음,대출있음,없음,유선전화,186,2,,0,no,2018-02-10,104
59,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,579,2,,0,no,2018-02-10,105
24,공무원,미혼,대졸학사,없음,대출있음,없음,유선전화,165,2,,0,no,2018-02-10,106
37,산업노동자,미혼,고졸,미확인,대출있음,대출있음,유선전화,163,2,,0,no,2018-02-10,107
40,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,46,1,,0,no,2018-02-10,108
42,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,559,3,,0,no,2018-02-11,109
39,서비스종사자,이혼,전문학교,미확인,없음,없음,유선전화,2033,1,,0,no,2018-02-11,110
37,기업가,결혼,검정고시,없음,없음,없음,유선전화,85,1,,0,no,2018-02-11,111
38,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,506,1,,0,no,2018-02-12,112
56,회사원,이혼,미확인,미확인,없음,없음,유선전화,114,2,,0,no,2018-02-12,113
40,산업노동자,결혼,미확인,없음,없음,없음,유선전화,114,2,,0,no,2018-02-12,114
54,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,843,2,,0,no,2018-02-12,115
43,산업노동자,결혼,전문학교,미확인,없음,대출있음,유선전화,181,1,,0,no,2018-02-12,116
36,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,427,1,,0,no,2018-02-12,117
45,기술자,결혼,대졸학사,없음,대출있음,대출있음,유선전화,292,1,,0,no,2018-02-13,118
42,회사원,미혼,대졸학사,미확인,없음,없음,유선전화,192,1,,0,no,2018-02-13,119
43,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,93,3,,0,no,2018-02-13,120
46,공무원,결혼,고졸,없음,없음,없음,유선전화,128,2,,0,no,2018-02-13,121
44,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,107,1,,0,no,2018-02-13,122
51,회사원,미혼,검정고시,없음,없음,없음,유선전화,303,2,,0,no,2018-02-14,123
28,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,81,1,,0,no,2018-02-14,124
37,산업노동자,결혼,고졸,없음,없음,없음,유선전화,270,1,,0,no,2018-02-14,125
34,기술자,결혼,전문학교,없음,없음,없음,유선전화,228,1,,0,no,2018-02-14,126
46,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,240,1,,0,no,2018-02-14,127
42,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,673,2,,0,yes,2018-02-14,128
36,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,233,3,,0,no,2018-02-14,129
54,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,1,,0,no,2018-02-14,130
57,공무원,결혼,대졸학사,없음,없음,없음,유선전화,461,1,,0,no,2018-02-14,131
51,기술자,결혼,검정고시,미확인,없음,없음,유선전화,250,1,,0,no,2018-02-15,132
54,은퇴,결혼,전문학교,미확인,없음,없음,유선전화,130,1,,0,no,2018-02-15,133
49,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,252,1,,0,no,2018-02-15,134
34,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,138,1,,0,no,2018-02-19,135
41,기술자,결혼,석박사,없음,없음,없음,유선전화,412,1,,0,no,2018-02-19,136
38,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,179,2,,0,no,2018-02-19,137
45,공무원,이혼,대졸학사,없음,없음,없음,유선전화,19,2,,0,no,2018-02-19,138
42,기술자,결혼,대졸학사,없음,없음,없음,유선전화,228,2,,0,no,2018-02-19,139
34,산업노동자,미혼,고졸,미확인,대출있음,없음,유선전화,55,1,,0,no,2018-02-21,140
48,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,717,1,,0,no,2018-02-21,141
37,회사원,결혼,전문학교,미확인,대출있음,없음,유선전화,313,1,,0,no,2018-02-21,142
34,산업노동자,미혼,고졸,미확인,없음,없음,유선전화,289,1,,0,no,2018-02-21,143
40,회사원,결혼,고졸,미확인,대출있음,없음,유선전화,683,2,,0,no,2018-02-21,144
43,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,1077,1,,0,no,2018-02-21,145
33,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,146,2,,0,no,2018-02-21,146
32,서비스종사자,미혼,검정고시,없음,없음,없음,유선전화,167,1,,0,no,2018-02-22,147
39,산업노동자,결혼,전문학교,없음,대출있음,없음,유선전화,356,2,,0,no,2018-02-22,148
43,회사원,결혼,미확인,없음,없음,없음,유선전화,277,1,,0,no,2018-02-22,149
44,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,172,1,,0,no,2018-02-22,150
35,학생,미혼,대졸학사,미확인,없음,없음,유선전화,218,1,,0,no,2018-02-22,151
35,학생,미혼,대졸학사,미확인,대출있음,대출있음,유선전화,217,1,,0,no,2018-02-22,152
35,미취업자,결혼,석박사,없음,없음,없음,유선전화,67,1,,0,no,2018-02-22,153
36,서비스종사자,미혼,중졸,없음,없음,없음,유선전화,291,1,,0,no,2018-02-22,154
35,학생,미혼,대졸학사,미확인,대출있음,없음,유선전화,248,1,,0,no,2018-02-23,155
36,학생,미혼,고졸,없음,대출있음,없음,유선전화,256,1,,0,no,2018-02-23,156
55,주부,이혼,대졸학사,없음,없음,없음,유선전화,286,1,,0,no,2018-02-23,157
59,회사원,결혼,대졸학사,없음,없음,없음,유선전화,477,1,,0,no,2018-02-23,158
57,은퇴,결혼,미확인,미확인,없음,없음,유선전화,611,2,,0,no,2018-02-23,159
39,산업노동자,결혼,석박사,미확인,대출있음,없음,유선전화,471,1,,0,no,2018-02-23,160
39,주부,결혼,중졸,미확인,대출있음,없음,유선전화,381,2,,0,no,2018-02-24,161
30,산업노동자,미혼,미확인,없음,대출있음,없음,유선전화,251,1,,0,no,2018-02-24,162
30,산업노동자,미혼,미확인,없음,대출있음,대출있음,유선전화,408,1,,0,no,2018-02-24,163
50,주부,결혼,중졸,미확인,없음,없음,유선전화,287,1,,0,no,2018-02-24,164
40,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,322,3,,0,no,2018-02-25,165
35,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,216,2,,0,no,2018-02-25,166
43,기술자,결혼,미확인,미확인,없음,없음,유선전화,366,2,,0,no,2018-02-25,167
36,서비스종사자,미혼,검정고시,미확인,대출있음,없음,유선전화,210,1,,0,no,2018-02-25,168
46,기술자,결혼,중졸,미확인,대출있음,없음,유선전화,288,1,,0,no,2018-02-25,169
40,기술자,결혼,고졸,없음,없음,없음,유선전화,168,1,,0,no,2018-02-26,170
58,은퇴,결혼,대졸학사,없음,없음,없음,유선전화,132,1,,0,no,2018-02-26,171
42,기술자,결혼,대졸학사,없음,없음,없음,유선전화,64,2,,0,no,2018-02-26,172
35,회사원,미혼,대졸학사,없음,없음,없음,유선전화,209,2,,0,no,2018-02-26,173
43,은퇴,결혼,중졸,미확인,없음,없음,유선전화,410,3,,0,no,2018-02-26,174
45,산업노동자,결혼,중졸,없음,대출있음,대출있음,유선전화,177,1,,0,no,2018-02-28,175
39,회사원,결혼,석박사,없음,대출있음,없음,유선전화,580,2,,0,no,2018-02-28,176
50,서비스종사자,이혼,석박사,없음,대출있음,없음,유선전화,165,1,,0,no,2018-02-28,177
32,공무원,이혼,중졸,미확인,대출있음,없음,유선전화,127,2,,0,no,2018-02-28,178
39,회사원,결혼,전문학교,미확인,없음,없음,유선전화,357,1,,0,no,2018-02-28,179
52,자영업자,결혼,대졸학사,미확인,없음,없음,유선전화,175,1,,0,no,2018-02-28,180
44,회사원,결혼,석박사,없음,대출있음,없음,유선전화,300,1,,0,no,2018-02-28,181
56,산업노동자,결혼,중졸,없음,없음,없음,유선전화,136,1,,0,no,2018-02-28,182
48,회사원,결혼,전문학교,없음,없음,없음,유선전화,125,2,,0,no,2018-03-01,183
33,서비스종사자,결혼,전문학교,미확인,없음,대출있음,유선전화,189,2,,0,no,2018-03-01,184
43,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,213,3,,0,no,2018-03-01,185
57,은퇴,결혼,전문학교,없음,없음,없음,유선전화,238,2,,0,no,2018-03-01,186
36,기술자,미혼,석박사,없음,없음,없음,유선전화,124,1,,0,no,2018-03-01,187
34,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,18,1,,0,no,2018-03-01,188
34,서비스종사자,미혼,고졸,없음,없음,없음,유선전화,730,2,,0,no,2018-03-02,189
30,기술자,결혼,대졸학사,미확인,없음,없음,유선전화,40,1,,0,no,2018-03-02,190
33,서비스종사자,이혼,미확인,없음,없음,없음,유선전화,181,2,,0,no,2018-03-02,191
32,기술자,미혼,석박사,없음,없음,없음,유선전화,79,1,,0,no,2018-03-03,192
36,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,142,2,,0,no,2018-03-03,193
36,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,389,1,,0,no,2018-03-03,194
33,서비스종사자,미혼,전문학교,없음,없음,없음,유선전화,702,1,,0,no,2018-03-03,195
40,기술자,이혼,석박사,없음,없음,없음,유선전화,151,1,,0,no,2018-03-03,196
41,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,211,1,,0,no,2018-03-04,197
51,서비스종사자,결혼,검정고시,없음,대출있음,없음,유선전화,117,1,,0,no,2018-03-04,198
36,기술자,결혼,석박사,없음,대출있음,없음,유선전화,232,3,,0,no,2018-03-04,199
28,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,408,2,,0,no,2018-03-04,200
53,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,370,3,,0,no,2018-03-04,201
58,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,179,2,,0,no,2018-03-04,202
45,공무원,결혼,고졸,없음,없음,대출있음,유선전화,46,1,,0,no,2018-03-04,203
43,기술자,결혼,미확인,없음,대출있음,없음,유선전화,200,1,,0,no,2018-03-04,204
33,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,50,1,,0,no,2018-03-04,205
33,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,181,1,,0,no,2018-03-04,206
27,산업노동자,미혼,검정고시,없음,미확인,미확인,유선전화,119,1,,0,no,2018-03-04,207
42,기술자,결혼,전문학교,없음,없음,없음,유선전화,361,1,,0,no,2018-03-05,208
43,회사원,이혼,고졸,없음,없음,없음,유선전화,73,3,,0,no,2018-03-05,209
42,회사원,결혼,대졸학사,없음,없음,없음,유선전화,67,2,,0,no,2018-03-05,210
27,산업노동자,미혼,검정고시,없음,없음,없음,유선전화,350,1,,0,no,2018-03-07,211
34,자영업자,미혼,대졸학사,없음,대출있음,없음,유선전화,150,2,,0,no,2018-03-07,212
31,학생,미혼,대졸학사,미확인,없음,없음,유선전화,332,2,,0,no,2018-03-07,213
54,공무원,이혼,대졸학사,없음,없음,없음,유선전화,611,2,,0,no,2018-03-07,214
40,자영업자,결혼,중졸,미확인,없음,없음,유선전화,58,3,,0,no,2018-03-07,215
52,미취업자,결혼,전문학교,미확인,대출있음,없음,유선전화,151,1,,0,no,2018-03-07,216
47,공무원,이혼,대졸학사,없음,없음,없음,유선전화,89,2,,0,no,2018-03-07,217
49,주부,결혼,고졸,미확인,없음,없음,유선전화,152,1,,0,no,2018-03-07,218
32,회사원,미혼,전문학교,없음,없음,없음,유선전화,611,2,,0,no,2018-03-08,219
49,주부,미혼,전문학교,미확인,대출있음,대출있음,유선전화,110,2,,0,no,2018-03-08,220
50,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,463,1,,0,no,2018-03-08,221
34,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,962,1,,0,no,2018-03-08,222
55,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,2,,0,no,2018-03-08,223
47,기술자,미혼,고졸,없음,없음,없음,유선전화,10,4,,0,no,2018-03-09,224
51,은퇴,결혼,석박사,없음,없음,없음,유선전화,118,3,,0,no,2018-03-09,225
