age,group_job,is_married,edu,is_holder,is_mortgage,is_personal_loan,contact,call_duration,no_call_trial,p_days,no_call_past,is_contract,call_date,card_type
50,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,353,1,,0,no,2018-01-06,105
30,공무원,미혼,고졸,미확인,없음,없음,유선전화,195,1,,0,no,2018-01-06,106
30,미취업자,결혼,전문학교,없음,없음,없음,유선전화,38,1,,0,no,2018-01-06,107
50,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,262,1,,0,no,2018-01-07,108
50,은퇴,미혼,전문학교,없음,대출있음,없음,유선전화,342,1,,0,no,2018-01-07,109
40,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,181,1,,0,no,2018-01-07,110
30,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,172,1,,0,no,2018-01-07,111
30,기술자,결혼,대졸학사,없음,없음,대출있음,유선전화,99,1,,0,no,2018-01-08,112
50,기술자,결혼,미확인,없음,대출있음,없음,유선전화,93,1,,0,no,2018-01-08,113
30,자영업자,결혼,고졸,미확인,없음,없음,유선전화,233,1,,0,no,2018-01-08,114
50,기술자,미혼,대졸학사,미확인,없음,없음,유선전화,255,2,,0,no,2018-01-08,115
50,미확인,결혼,대졸학사,미확인,미확인,미확인,유선전화,362,1,,0,no,2018-01-08,116
40,회사원,결혼,미확인,없음,없음,없음,유선전화,348,1,,0,no,2018-01-10,117
50,기술자,결혼,미확인,없음,대출있음,없음,유선전화,386,1,,0,no,2018-01-10,118
40,산업노동자,결혼,미확인,없음,없음,없음,유선전화,73,1,,0,no,2018-01-10,119
50,공무원,결혼,중졸,미확인,대출있음,없음,유선전화,230,1,,0,no,2018-01-10,120
50,산업노동자,이혼,중졸,없음,없음,없음,유선전화,208,1,,0,no,2018-01-10,121
50,미확인,결혼,중졸,미확인,대출있음,없음,유선전화,336,1,,0,no,2018-01-10,122
30,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,365,1,,0,no,2018-01-10,123
50,기술자,결혼,고졸,없음,대출있음,없음,유선전화,1666,1,,0,no,2018-01-11,124
40,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,577,1,,0,no,2018-01-11,125
50,기술자,결혼,중졸,없음,대출있음,없음,유선전화,137,1,,0,no,2018-01-11,126
50,공무원,미확인,대졸학사,없음,대출있음,없음,유선전화,366,1,,0,no,2018-01-12,127
30,기업가,결혼,전문학교,없음,대출있음,없음,유선전화,314,1,,0,no,2018-01-12,128
30,회사원,미혼,석박사,없음,없음,없음,유선전화,160,1,,0,no,2018-01-12,129
50,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,212,1,,0,no,2018-01-12,130
40,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,188,1,,0,no,2018-01-12,131
40,기술자,미혼,석박사,미확인,없음,없음,유선전화,22,1,,0,no,2018-01-12,132
50,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,616,1,,0,no,2018-01-13,133
40,산업노동자,결혼,고졸,없음,없음,대출있음,유선전화,178,1,,0,no,2018-01-13,134
30,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,355,1,,0,no,2018-01-13,135
40,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,225,2,,0,no,2018-01-13,136
50,회사원,결혼,전문학교,없음,없음,없음,유선전화,160,1,,0,no,2018-01-14,137
30,주부,결혼,중졸,없음,없음,대출있음,유선전화,266,1,,0,no,2018-01-14,138
60,회사원,결혼,전문학교,없음,없음,없음,유선전화,253,1,,0,no,2018-01-14,139
50,회사원,미혼,석박사,없음,없음,없음,유선전화,179,1,,0,no,2018-01-14,140
50,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,269,2,,0,no,2018-01-15,141
50,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,135,1,,0,no,2018-01-15,142
50,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,161,1,,0,no,2018-01-17,143
40,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,787,1,,0,no,2018-01-17,144
50,미취업자,결혼,석박사,미확인,대출있음,대출있음,유선전화,145,1,,0,no,2018-01-17,145
20,기술자,미혼,대졸학사,없음,대출있음,없음,유선전화,174,1,,0,no,2018-01-17,146
40,기업가,결혼,대졸학사,미확인,없음,없음,유선전화,449,1,,0,no,2018-01-17,147
50,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,812,1,,0,no,2018-01-17,148
40,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,164,1,,0,no,2018-01-17,149
40,산업노동자,결혼,검정고시,미확인,없음,없음,유선전화,366,1,,0,no,2018-01-18,150
40,회사원,결혼,전문학교,없음,없음,없음,유선전화,357,1,,0,no,2018-01-18,151
30,회사원,결혼,대졸학사,없음,없음,없음,유선전화,232,1,,0,no,2018-01-18,152
40,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,91,1,,0,no,2018-01-19,153
30,회사원,결혼,미확인,없음,대출있음,없음,유선전화,273,1,,0,no,2018-01-19,154
50,회사원,결혼,고졸,없음,대출있음,없음,유선전화,158,2,,0,no,2018-01-19,155
40,산업노동자,미혼,중졸,미확인,대출있음,대출있음,유선전화,177,1,,0,no,2018-01-19,156
40,공무원,결혼,검정고시,없음,없음,없음,유선전화,200,1,,0,no,2018-01-20,157
40,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,172,1,,0,no,2018-01-20,158
40,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,176,1,,0,no,2018-01-20,159
50,미확인,결혼,미확인,미확인,없음,없음,유선전화,211,1,,0,no,2018-01-20,160
30,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,214,1,,0,no,2018-01-20,161
40,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,1575,1,,0,yes,2018-01-20,162
50,기술자,결혼,대졸학사,없음,없음,없음,유선전화,349,1,,0,no,2018-01-20,163
30,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,337,2,,0,no,2018-01-21,164
50,공무원,결혼,미확인,미확인,대출있음,없음,유선전화,272,1,,0,no,2018-01-21,165
40,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,208,1,,0,no,2018-01-21,166
50,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,193,1,,0,no,2018-01-21,167
50,산업노동자,결혼,중졸,미확인,미확인,미확인,유선전화,212,1,,0,no,2018-01-21,168
30,회사원,결혼,전문학교,미확인,없음,없음,유선전화,165,2,,0,no,2018-01-21,169
40,기업가,결혼,대졸학사,미확인,대출있음,없음,유선전화,1042,1,,0,yes,2018-01-22,170
30,기술자,미혼,대졸학사,없음,없음,대출있음,유선전화,20,1,,0,no,2018-01-22,171
30,회사원,이혼,전문학교,없음,없음,없음,유선전화,246,1,,0,no,2018-01-22,172
40,공무원,결혼,검정고시,없음,없음,없음,유선전화,529,2,,0,no,2018-01-22,173
30,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,192,1,,0,no,2018-01-25,174
40,기술자,결혼,고졸,없음,없음,없음,유선전화,1467,1,,0,yes,2018-01-25,175
30,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,188,2,,0,no,2018-01-25,176
30,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,180,2,,0,no,2018-01-25,177
50,미확인,결혼,미확인,미확인,대출있음,없음,유선전화,48,1,,0,no,2018-01-25,178
60,회사원,결혼,미확인,미확인,없음,대출있음,유선전화,213,2,,0,no,2018-01-26,179
30,미취업자,결혼,고졸,없음,없음,없음,유선전화,545,1,,0,no,2018-01-26,180
40,산업노동자,결혼,검정고시,없음,없음,대출있음,유선전화,583,1,,0,no,2018-01-26,181
40,서비스종사자,결혼,석박사,없음,대출있음,없음,유선전화,221,1,,0,no,2018-01-27,182
40,공무원,결혼,대졸학사,없음,없음,없음,유선전화,426,1,,0,no,2018-01-27,183
50,회사원,이혼,대졸학사,미확인,없음,없음,유선전화,287,1,,0,no,2018-01-27,184
30,기술자,미혼,석박사,없음,없음,없음,유선전화,197,1,,0,no,2018-01-27,185
40,산업노동자,결혼,검정고시,없음,없음,없음,유선전화,257,1,,0,no,2018-01-27,186
50,서비스종사자,결혼,미확인,없음,대출있음,없음,유선전화,229,1,,0,no,2018-01-27,187
40,산업노동자,결혼,중졸,없음,없음,없음,유선전화,55,3,,0,no,2018-01-27,188
50,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,400,1,,0,no,2018-01-28,189
50,회사원,이혼,대졸학사,없음,없음,없음,유선전화,197,1,,0,no,2018-01-28,190
50,회사원,이혼,대졸학사,없음,없음,없음,유선전화,190,1,,0,no,2018-01-28,191
40,서비스종사자,미혼,전문학교,미확인,없음,없음,유선전화,21,1,,0,no,2018-01-28,192
30,주부,결혼,검정고시,없음,대출있음,없음,유선전화,300,2,,0,no,2018-01-28,193
30,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,123,2,,0,no,2018-01-29,194
40,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,293,1,,0,no,2018-01-29,195
40,기술자,결혼,미확인,미확인,대출있음,대출있음,유선전화,325,1,,0,no,2018-01-29,196
60,은퇴,이혼,대졸학사,미확인,없음,없음,유선전화,514,1,,0,no,2018-01-29,197
50,미취업자,결혼,중졸,미확인,없음,없음,유선전화,849,2,,0,no,2018-01-31,198
30,서비스종사자,이혼,전문학교,없음,대출있음,없음,유선전화,194,1,,0,no,2018-01-31,199
50,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,212,2,,0,no,2018-01-31,200
30,공무원,결혼,대졸학사,없음,없음,없음,유선전화,337,2,,0,no,2018-01-31,201
30,산업노동자,결혼,전문학교,없음,없음,없음,유선전화,286,1,,0,no,2018-01-31,202
50,회사원,이혼,대졸학사,없음,없음,없음,유선전화,247,2,,0,no,2018-01-31,203
50,산업노동자,이혼,미확인,미확인,대출있음,없음,유선전화,518,1,,0,no,2018-02-01,204
50,회사원,결혼,미확인,없음,대출있음,없음,유선전화,364,1,,0,no,2018-02-01,205
40,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,178,1,,0,no,2018-02-02,206
40,산업노동자,결혼,전문학교,미확인,대출있음,없음,유선전화,98,1,,0,no,2018-02-02,207
40,산업노동자,이혼,전문학교,없음,없음,없음,유선전화,439,1,,0,no,2018-02-02,208
40,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,139,1,,0,no,2018-02-02,209
40,기술자,결혼,전문학교,없음,대출있음,없음,유선전화,79,1,,0,no,2018-02-02,210
30,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,175,1,,0,no,2018-02-02,211
40,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,262,2,,0,no,2018-02-02,212
50,회사원,결혼,검정고시,없음,없음,없음,유선전화,61,1,,0,no,2018-02-03,213
30,기술자,이혼,석박사,없음,대출있음,대출있음,유선전화,78,1,,0,no,2018-02-03,214
50,은퇴,결혼,중졸,없음,대출있음,없음,유선전화,102,2,,0,no,2018-02-03,215
40,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,579,1,,0,yes,2018-02-04,216
30,산업노동자,결혼,검정고시,없음,대출있음,대출있음,유선전화,143,1,,0,no,2018-02-04,217
40,기술자,결혼,석박사,미확인,없음,없음,유선전화,677,1,,0,no,2018-02-04,218
30,산업노동자,결혼,미확인,없음,대출있음,없음,유선전화,267,1,,0,no,2018-02-04,219
30,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,345,1,,0,no,2018-02-04,220
50,공무원,결혼,대졸학사,없음,없음,없음,유선전화,185,1,,0,no,2018-02-04,221
30,공무원,이혼,대졸학사,없음,없음,없음,유선전화,207,1,,0,no,2018-02-04,222
30,주부,결혼,중졸,미확인,없음,없음,유선전화,69,2,,0,no,2018-02-05,223
50,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,100,2,,0,no,2018-02-05,224
30,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,125,2,,0,no,2018-02-05,225
40,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,461,1,,0,yes,2018-02-05,226
40,미취업자,미혼,대졸학사,없음,대출있음,없음,유선전화,240,1,,0,no,2018-02-05,227
50,공무원,결혼,미확인,없음,대출있음,없음,유선전화,70,1,,0,no,2018-02-05,87
30,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,193,1,,0,no,2018-02-05,88
50,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,136,1,,0,no,2018-02-07,89
30,미확인,이혼,전문학교,미확인,대출있음,없음,유선전화,73,1,,0,no,2018-02-07,90
40,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,528,1,,0,no,2018-02-07,91
40,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,541,1,,0,no,2018-02-07,92
30,회사원,미혼,전문학교,없음,대출있음,없음,유선전화,338,1,,0,no,2018-02-07,93
40,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,163,1,,0,no,2018-02-08,94
50,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,87,1,,0,no,2018-02-08,95
60,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,301,1,,0,no,2018-02-08,96
50,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,46,1,,0,no,2018-02-08,97
30,서비스종사자,이혼,전문학교,미확인,대출있음,없음,유선전화,52,1,,0,no,2018-02-09,98
50,기업가,결혼,미확인,미확인,없음,없음,유선전화,204,1,,0,no,2018-02-09,99
40,산업노동자,결혼,미확인,없음,대출있음,대출있음,유선전화,155,1,,0,no,2018-02-09,100
30,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,98,1,,0,no,2018-02-09,101
50,산업노동자,결혼,미확인,미확인,대출있음,없음,유선전화,71,1,,0,no,2018-02-10,102
50,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,243,1,,0,no,2018-02-10,103
40,기술자,미혼,석박사,없음,대출있음,없음,유선전화,186,2,,0,no,2018-02-10,104
50,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,579,2,,0,no,2018-02-10,105
20,공무원,미혼,대졸학사,없음,대출있음,없음,유선전화,165,2,,0,no,2018-02-10,106
30,산업노동자,미혼,고졸,미확인,대출있음,대출있음,유선전화,163,2,,0,no,2018-02-10,107
40,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,46,1,,0,no,2018-02-10,108
40,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,559,3,,0,no,2018-02-11,109
30,서비스종사자,이혼,전문학교,미확인,없음,없음,유선전화,2033,1,,0,no,2018-02-11,110
30,기업가,결혼,검정고시,없음,없음,없음,유선전화,85,1,,0,no,2018-02-11,111
30,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,506,1,,0,no,2018-02-12,112
50,회사원,이혼,미확인,미확인,없음,없음,유선전화,114,2,,0,no,2018-02-12,113
40,산업노동자,결혼,미확인,없음,없음,없음,유선전화,114,2,,0,no,2018-02-12,114
50,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,843,2,,0,no,2018-02-12,115
40,산업노동자,결혼,전문학교,미확인,없음,대출있음,유선전화,181,1,,0,no,2018-02-12,116
30,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,427,1,,0,no,2018-02-12,117
40,기술자,결혼,대졸학사,없음,대출있음,대출있음,유선전화,292,1,,0,no,2018-02-13,118
40,회사원,미혼,대졸학사,미확인,없음,없음,유선전화,192,1,,0,no,2018-02-13,119
40,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,93,3,,0,no,2018-02-13,120
40,공무원,결혼,고졸,없음,없음,없음,유선전화,128,2,,0,no,2018-02-13,121
40,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,107,1,,0,no,2018-02-13,122
50,회사원,미혼,검정고시,없음,없음,없음,유선전화,303,2,,0,no,2018-02-14,123
20,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,81,1,,0,no,2018-02-14,124
30,산업노동자,결혼,고졸,없음,없음,없음,유선전화,270,1,,0,no,2018-02-14,125
30,기술자,결혼,전문학교,없음,없음,없음,유선전화,228,1,,0,no,2018-02-14,126
40,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,240,1,,0,no,2018-02-14,127
40,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,673,2,,0,yes,2018-02-14,128
30,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,233,3,,0,no,2018-02-14,129
50,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,1,,0,no,2018-02-14,130
50,공무원,결혼,대졸학사,없음,없음,없음,유선전화,461,1,,0,no,2018-02-14,131
50,기술자,결혼,검정고시,미확인,없음,없음,유선전화,250,1,,0,no,2018-02-15,132
50,은퇴,결혼,전문학교,미확인,없음,없음,유선전화,130,1,,0,no,2018-02-15,133
40,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,252,1,,0,no,2018-02-15,134
30,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,138,1,,0,no,2018-02-19,135
40,기술자,결혼,석박사,없음,없음,없음,유선전화,412,1,,0,no,2018-02-19,136
30,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,179,2,,0,no,2018-02-19,137
40,공무원,이혼,대졸학사,없음,없음,없음,유선전화,19,2,,0,no,2018-02-19,138
40,기술자,결혼,대졸학사,없음,없음,없음,유선전화,228,2,,0,no,2018-02-19,139
30,산업노동자,미혼,고졸,미확인,대출있음,없음,유선전화,55,1,,0,no,2018-02-21,140
40,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,717,1,,0,no,2018-02-21,141
30,회사원,결혼,전문학교,미확인,대출있음,없음,유선전화,313,1,,0,no,2018-02-21,142
30,산업노동자,미혼,고졸,미확인,없음,없음,유선전화,289,1,,0,no,2018-02-21,143
40,회사원,결혼,고졸,미확인,대출있음,없음,유선전화,683,2,,0,no,2018-02-21,144
40,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,1077,1,,0,no,2018-02-21,145
30,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,146,2,,0,no,2018-02-21,146
30,서비스종사자,미혼,검정고시,없음,없음,없음,유선전화,167,1,,0,no,2018-02-22,147
30,산업노동자,결혼,전문학교,없음,대출있음,없음,유선전화,356,2,,0,no,2018-02-22,148
40,회사원,결혼,미확인,없음,없음,없음,유선전화,277,1,,0,no,2018-02-22,149
40,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,172,1,,0,no,2018-02-22,150
30,학생,미혼,대졸학사,미확인,없음,없음,유선전화,218,1,,0,no,2018-02-22,151
30,학생,미혼,대졸학사,미확인,대출있음,대출있음,유선전화,217,1,,0,no,2018-02-22,152
30,미취업자,결혼,석박사,없음,없음,없음,유선전화,67,1,,0,no,2018-02-22,153
30,서비스종사자,미혼,중졸,없음,없음,없음,유선전화,291,1,,0,no,2018-02-22,154
30,학생,미혼,대졸학사,미확인,대출있음,없음,유선전화,248,1,,0,no,2018-02-23,155
30,학생,미혼,고졸,없음,대출있음,없음,유선전화,256,1,,0,no,2018-02-23,156
50,주부,이혼,대졸학사,없음,없음,없음,유선전화,286,1,,0,no,2018-02-23,157
50,회사원,결혼,대졸학사,없음,없음,없음,유선전화,477,1,,0,no,2018-02-23,158
50,은퇴,결혼,미확인,미확인,없음,없음,유선전화,611,2,,0,no,2018-02-23,159
30,산업노동자,결혼,석박사,미확인,대출있음,없음,유선전화,471,1,,0,no,2018-02-23,160
30,주부,결혼,중졸,미확인,대출있음,없음,유선전화,381,2,,0,no,2018-02-24,161
30,산업노동자,미혼,미확인,없음,대출있음,없음,유선전화,251,1,,0,no,2018-02-24,162
30,산업노동자,미혼,미확인,없음,대출있음,대출있음,유선전화,408,1,,0,no,2018-02-24,163
50,주부,결혼,중졸,미확인,없음,없음,유선전화,287,1,,0,no,2018-02-24,164
40,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,322,3,,0,no,2018-02-25,165
30,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,216,2,,0,no,2018-02-25,166
40,기술자,결혼,미확인,미확인,없음,없음,유선전화,366,2,,0,no,2018-02-25,167
30,서비스종사자,미혼,검정고시,미확인,대출있음,없음,유선전화,210,1,,0,no,2018-02-25,168
40,기술자,결혼,중졸,미확인,대출있음,없음,유선전화,288,1,,0,no,2018-02-25,169
40,기술자,결혼,고졸,없음,없음,없음,유선전화,168,1,,0,no,2018-02-26,170
50,은퇴,결혼,대졸학사,없음,없음,없음,유선전화,132,1,,0,no,2018-02-26,171
40,기술자,결혼,대졸학사,없음,없음,없음,유선전화,64,2,,0,no,2018-02-26,172
30,회사원,미혼,대졸학사,없음,없음,없음,유선전화,209,2,,0,no,2018-02-26,173
40,산업노동자,결혼,중졸,없음,대출있음,대출있음,유선전화,177,1,,0,no,2018-02-28,175
30,회사원,결혼,석박사,없음,대출있음,없음,유선전화,580,2,,0,no,2018-02-28,176
50,서비스종사자,이혼,석박사,없음,대출있음,없음,유선전화,165,1,,0,no,2018-02-28,177
30,공무원,이혼,중졸,미확인,대출있음,없음,유선전화,127,2,,0,no,2018-02-28,178
30,회사원,결혼,전문학교,미확인,없음,없음,유선전화,357,1,,0,no,2018-02-28,179
50,자영업자,결혼,대졸학사,미확인,없음,없음,유선전화,175,1,,0,no,2018-02-28,180
40,회사원,결혼,석박사,없음,대출있음,없음,유선전화,300,1,,0,no,2018-02-28,181
50,산업노동자,결혼,중졸,없음,없음,없음,유선전화,136,1,,0,no,2018-02-28,182
40,회사원,결혼,전문학교,없음,없음,없음,유선전화,125,2,,0,no,2018-03-01,183
30,서비스종사자,결혼,전문학교,미확인,없음,대출있음,유선전화,189,2,,0,no,2018-03-01,184
40,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,213,3,,0,no,2018-03-01,185
50,은퇴,결혼,전문학교,없음,없음,없음,유선전화,238,2,,0,no,2018-03-01,186
30,기술자,미혼,석박사,없음,없음,없음,유선전화,124,1,,0,no,2018-03-01,187
30,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,18,1,,0,no,2018-03-01,188
30,서비스종사자,미혼,고졸,없음,없음,없음,유선전화,730,2,,0,no,2018-03-02,189
30,기술자,결혼,대졸학사,미확인,없음,없음,유선전화,40,1,,0,no,2018-03-02,190
30,서비스종사자,이혼,미확인,없음,없음,없음,유선전화,181,2,,0,no,2018-03-02,191
30,기술자,미혼,석박사,없음,없음,없음,유선전화,79,1,,0,no,2018-03-03,192
30,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,142,2,,0,no,2018-03-03,193
30,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,389,1,,0,no,2018-03-03,194
30,서비스종사자,미혼,전문학교,없음,없음,없음,유선전화,702,1,,0,no,2018-03-03,195
40,기술자,이혼,석박사,없음,없음,없음,유선전화,151,1,,0,no,2018-03-03,196
40,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,211,1,,0,no,2018-03-04,197
50,서비스종사자,결혼,검정고시,없음,대출있음,없음,유선전화,117,1,,0,no,2018-03-04,198
30,기술자,결혼,석박사,없음,대출있음,없음,유선전화,232,3,,0,no,2018-03-04,199
20,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,408,2,,0,no,2018-03-04,200
50,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,370,3,,0,no,2018-03-04,201
50,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,179,2,,0,no,2018-03-04,202
40,공무원,결혼,고졸,없음,없음,대출있음,유선전화,46,1,,0,no,2018-03-04,203
40,기술자,결혼,미확인,없음,대출있음,없음,유선전화,200,1,,0,no,2018-03-04,204
30,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,50,1,,0,no,2018-03-04,205
30,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,181,1,,0,no,2018-03-04,206
20,산업노동자,미혼,검정고시,없음,미확인,미확인,유선전화,119,1,,0,no,2018-03-04,207
40,기술자,결혼,전문학교,없음,없음,없음,유선전화,361,1,,0,no,2018-03-05,208
40,회사원,이혼,고졸,없음,없음,없음,유선전화,73,3,,0,no,2018-03-05,209
40,회사원,결혼,대졸학사,없음,없음,없음,유선전화,67,2,,0,no,2018-03-05,210
20,산업노동자,미혼,검정고시,없음,없음,없음,유선전화,350,1,,0,no,2018-03-07,211
30,자영업자,미혼,대졸학사,없음,대출있음,없음,유선전화,150,2,,0,no,2018-03-07,212
30,학생,미혼,대졸학사,미확인,없음,없음,유선전화,332,2,,0,no,2018-03-07,213
50,공무원,이혼,대졸학사,없음,없음,없음,유선전화,611,2,,0,no,2018-03-07,214
40,자영업자,결혼,중졸,미확인,없음,없음,유선전화,58,3,,0,no,2018-03-07,215
50,미취업자,결혼,전문학교,미확인,대출있음,없음,유선전화,151,1,,0,no,2018-03-07,216
40,공무원,이혼,대졸학사,없음,없음,없음,유선전화,89,2,,0,no,2018-03-07,217
40,주부,결혼,고졸,미확인,없음,없음,유선전화,152,1,,0,no,2018-03-07,218
30,회사원,미혼,전문학교,없음,없음,없음,유선전화,611,2,,0,no,2018-03-08,219
40,주부,미혼,전문학교,미확인,대출있음,대출있음,유선전화,110,2,,0,no,2018-03-08,220
50,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,463,1,,0,no,2018-03-08,221
30,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,962,1,,0,no,2018-03-08,222
50,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,2,,0,no,2018-03-08,223
40,기술자,미혼,고졸,없음,없음,없음,유선전화,10,4,,0,no,2018-03-09,224
50,은퇴,결혼,석박사,없음,없음,없음,유선전화,118,3,,0,no,2018-03-09,225
40,산업노동자,결혼,검정고시,없음,없음,없음,유선전화,92,2,,0,no,2018-03-09,226
