age,group_job,is_married,edu,is_mortgage,is_personal_loan,call_duration,no_call_past,is_contract,card_type
30,서비스종사자,결혼,전문학교,대출있음,대출있음,506,0,no,112
50,회사원,이혼,미확인,없음,없음,114,0,no,113
40,산업노동자,결혼,미확인,없음,없음,114,0,no,114
50,공무원,이혼,대졸학사,대출있음,없음,843,0,no,115
40,산업노동자,결혼,전문학교,없음,대출있음,181,0,no,116
30,서비스종사자,결혼,전문학교,없음,없음,427,0,no,117
40,기술자,결혼,대졸학사,대출있음,대출있음,292,0,no,118
40,회사원,미혼,대졸학사,없음,없음,192,0,no,119
40,서비스종사자,결혼,전문학교,없음,없음,93,0,no,120
40,공무원,결혼,고졸,없음,없음,128,0,no,121
40,서비스종사자,결혼,전문학교,대출있음,대출있음,107,0,no,122
50,회사원,미혼,검정고시,없음,없음,303,0,no,123
20,서비스종사자,결혼,전문학교,대출있음,없음,81,0,no,124
30,산업노동자,결혼,고졸,없음,없음,270,0,no,125
30,기술자,결혼,전문학교,없음,없음,228,0,no,126
40,산업노동자,결혼,검정고시,대출있음,없음,240,0,no,127
40,산업노동자,결혼,고졸,대출있음,대출있음,673,0,yes,128
30,회사원,결혼,대졸학사,대출있음,없음,233,0,no,129
50,산업노동자,결혼,중졸,없음,없음,102,0,no,130
50,공무원,결혼,대졸학사,없음,없음,461,0,no,131
50,기술자,결혼,검정고시,없음,없음,250,0,no,132
50,은퇴,결혼,전문학교,없음,없음,130,0,no,133
40,산업노동자,결혼,중졸,없음,없음,252,0,no,134
30,회사원,결혼,대졸학사,대출있음,없음,138,0,no,135
40,기술자,결혼,석박사,없음,없음,412,0,no,136
30,산업노동자,미혼,고졸,대출있음,없음,179,0,no,137
40,공무원,이혼,대졸학사,없음,없음,19,0,no,138
40,기술자,결혼,대졸학사,없음,없음,228,0,no,139
30,산업노동자,미혼,고졸,대출있음,없음,55,0,no,140
40,산업노동자,결혼,중졸,대출있음,없음,717,0,no,141
30,회사원,결혼,전문학교,대출있음,없음,313,0,no,142
30,산업노동자,미혼,고졸,없음,없음,289,0,no,143
40,회사원,결혼,고졸,대출있음,없음,683,0,no,144
40,산업노동자,결혼,검정고시,대출있음,없음,1077,0,no,145
30,서비스종사자,결혼,전문학교,없음,없음,146,0,no,146
30,서비스종사자,미혼,검정고시,없음,없음,167,0,no,147
30,산업노동자,결혼,전문학교,대출있음,없음,356,0,no,148
40,회사원,결혼,미확인,없음,없음,277,0,no,149
40,산업노동자,결혼,고졸,대출있음,없음,172,0,no,150
30,학생,미혼,대졸학사,없음,없음,218,0,no,151
30,학생,미혼,대졸학사,대출있음,대출있음,217,0,no,152
30,미취업자,결혼,석박사,없음,없음,67,0,no,153
30,서비스종사자,미혼,중졸,없음,없음,291,0,no,154
30,학생,미혼,대졸학사,대출있음,없음,248,0,no,155
30,학생,미혼,고졸,대출있음,없음,256,0,no,156
50,주부,이혼,대졸학사,없음,없음,286,0,no,157
50,회사원,결혼,대졸학사,없음,없음,477,0,no,158
50,은퇴,결혼,미확인,없음,없음,611,0,no,159
30,산업노동자,결혼,석박사,대출있음,없음,471,0,no,160
30,주부,결혼,중졸,대출있음,없음,381,0,no,161
30,산업노동자,미혼,미확인,대출있음,없음,251,0,no,162
30,산업노동자,미혼,미확인,대출있음,대출있음,408,0,no,163
50,주부,결혼,중졸,없음,없음,287,0,no,164
40,서비스종사자,결혼,전문학교,없음,없음,322,0,no,165
30,회사원,결혼,전문학교,대출있음,없음,216,0,no,166
40,기술자,결혼,미확인,없음,없음,366,0,no,167
30,서비스종사자,미혼,검정고시,대출있음,없음,210,0,no,168
40,기술자,결혼,중졸,대출있음,없음,288,0,no,169
40,기술자,결혼,고졸,없음,없음,168,0,no,170
50,은퇴,결혼,대졸학사,없음,없음,132,0,no,171
40,기술자,결혼,대졸학사,없음,없음,64,0,no,172
30,회사원,미혼,대졸학사,없음,없음,209,0,no,173
40,산업노동자,결혼,중졸,대출있음,대출있음,177,0,no,175
30,회사원,결혼,석박사,대출있음,없음,580,0,no,176
50,서비스종사자,이혼,석박사,대출있음,없음,165,0,no,177
30,공무원,이혼,중졸,대출있음,없음,127,0,no,178
30,회사원,결혼,전문학교,없음,없음,357,0,no,179
50,자영업자,결혼,대졸학사,없음,없음,175,0,no,180
40,회사원,결혼,석박사,대출있음,없음,300,0,no,181
50,산업노동자,결혼,중졸,없음,없음,136,0,no,182
40,회사원,결혼,전문학교,없음,없음,125,0,no,183
30,서비스종사자,결혼,전문학교,없음,대출있음,189,0,no,184
40,공무원,결혼,대졸학사,없음,대출있음,213,0,no,185
50,은퇴,결혼,전문학교,없음,없음,238,0,no,186
30,기술자,미혼,석박사,없음,없음,124,0,no,187
30,공무원,결혼,대졸학사,대출있음,없음,18,0,no,188
30,서비스종사자,미혼,고졸,없음,없음,730,0,no,189
30,기술자,결혼,대졸학사,없음,없음,40,0,no,190
30,서비스종사자,이혼,미확인,없음,없음,181,0,no,191
30,기술자,미혼,석박사,없음,없음,79,0,no,192
30,기술자,미혼,전문학교,대출있음,없음,142,0,no,193
30,산업노동자,미혼,전문학교,없음,대출있음,389,0,no,194
30,서비스종사자,미혼,전문학교,없음,없음,702,0,no,195
40,기술자,이혼,석박사,없음,없음,151,0,no,196
40,산업노동자,결혼,중졸,대출있음,없음,211,0,no,197
50,서비스종사자,결혼,검정고시,대출있음,없음,117,0,no,198
30,기술자,결혼,석박사,대출있음,없음,232,0,no,199
20,서비스종사자,결혼,미확인,없음,없음,408,0,no,200
50,서비스종사자,결혼,전문학교,대출있음,대출있음,370,0,no,201
50,산업노동자,결혼,고졸,대출있음,없음,179,0,no,202
40,공무원,결혼,고졸,없음,대출있음,46,0,no,203
40,기술자,결혼,미확인,대출있음,없음,200,0,no,204
30,회사원,결혼,전문학교,없음,대출있음,50,0,no,205
30,회사원,결혼,전문학교,없음,대출있음,181,0,no,206
20,산업노동자,미혼,검정고시,미확인,미확인,119,0,no,207
40,기술자,결혼,전문학교,없음,없음,361,0,no,208
40,회사원,이혼,고졸,없음,없음,73,0,no,209
40,회사원,결혼,대졸학사,없음,없음,67,0,no,210
20,산업노동자,미혼,검정고시,없음,없음,350,0,no,211
30,자영업자,미혼,대졸학사,대출있음,없음,150,0,no,212
30,학생,미혼,대졸학사,없음,없음,332,0,no,213
50,공무원,이혼,대졸학사,없음,없음,611,0,no,214
40,자영업자,결혼,중졸,없음,없음,58,0,no,215
50,미취업자,결혼,전문학교,대출있음,없음,151,0,no,216
40,공무원,이혼,대졸학사,없음,없음,89,0,no,217
40,주부,결혼,고졸,없음,없음,152,0,no,218
30,회사원,미혼,전문학교,없음,없음,611,0,no,219
40,주부,미혼,전문학교,대출있음,대출있음,110,0,no,220
50,산업노동자,결혼,고졸,없음,없음,463,0,no,221
30,서비스종사자,결혼,전문학교,없음,없음,962,0,no,222
50,산업노동자,결혼,중졸,없음,없음,102,0,no,223
40,기술자,미혼,고졸,없음,없음,10,0,no,224
50,은퇴,결혼,석박사,없음,없음,118,0,no,225
40,산업노동자,결혼,검정고시,없음,없음,92,0,no,226
50,기술자,결혼,중졸,대출있음,없음,143,0,no,227
50,회사원,결혼,고졸,없음,없음,189,0,no,87
30,산업노동자,결혼,고졸,대출있음,없음,75,0,no,88
40,산업노동자,이혼,고졸,대출있음,없음,189,0,no,89
40,산업노동자,이혼,검정고시,없음,없음,55,0,no,90
30,주부,결혼,고졸,대출있음,없음,935,0,yes,91
30,회사원,미혼,전문학교,대출있음,대출있음,56,0,no,92
60,산업노동자,결혼,미확인,대출있음,없음,5,0,no,93
30,서비스종사자,결혼,전문학교,없음,없음,225,0,no,94
40,공무원,이혼,대졸학사,대출있음,없음,125,0,no,95
30,회사원,결혼,전문학교,대출있음,대출있음,286,0,no,96
50,기술자,이혼,석박사,없음,대출있음,206,0,no,97
40,산업노동자,결혼,중졸,대출있음,없음,164,0,no,98
30,기술자,미혼,석박사,대출있음,없음,98,0,no,99
40,자영업자,결혼,석박사,없음,없음,446,0,no,100
40,산업노동자,이혼,전문학교,없음,대출있음,742,0,no,101
30,회사원,결혼,대졸학사,대출있음,없음,120,0,no,102
30,서비스종사자,이혼,전문학교,없음,없음,122,0,no,103
30,미확인,결혼,미확인,없음,없음,362,0,no,104
30,서비스종사자,미혼,전문학교,없음,없음,357,0,no,105
50,산업노동자,이혼,전문학교,없음,대출있음,200,0,no,106
50,은퇴,결혼,석박사,없음,없음,107,0,no,107
40,미확인,결혼,미확인,대출있음,없음,267,0,no,108
40,회사원,결혼,전문학교,대출있음,없음,248,0,no,109
40,회사원,결혼,검정고시,대출있음,없음,215,0,no,110
40,산업노동자,결혼,미확인,없음,없음,209,0,no,111
50,주부,이혼,중졸,대출있음,대출있음,205,0,no,112
40,회사원,결혼,대졸학사,대출있음,없음,261,0,no,113
40,산업노동자,결혼,중졸,대출있음,없음,83,0,no,114
50,공무원,이혼,대졸학사,대출있음,없음,106,0,no,115
20,회사원,미혼,대졸학사,없음,없음,106,0,no,116
30,회사원,결혼,전문학교,없음,없음,108,0,no,117
50,산업노동자,결혼,석박사,대출있음,없음,214,0,no,118
40,공무원,결혼,대졸학사,대출있음,없음,358,0,no,119
30,회사원,미혼,고졸,없음,없음,453,0,no,120
30,회사원,이혼,전문학교,없음,없음,364,0,no,121
50,은퇴,결혼,검정고시,없음,없음,136,0,no,122
40,산업노동자,결혼,고졸,없음,없음,173,0,no,123
40,서비스종사자,결혼,전문학교,대출있음,없음,241,0,no,124
50,공무원,미혼,고졸,대출있음,없음,224,0,no,125
50,회사원,미혼,검정고시,대출있음,대출있음,148,0,no,126
40,기술자,미혼,미확인,없음,없음,230,0,no,127
40,서비스종사자,결혼,검정고시,없음,없음,199,0,no,128
50,기술자,결혼,석박사,대출있음,대출있음,196,0,no,129
40,주부,미혼,석박사,없음,없음,111,0,no,130
20,회사원,미혼,대졸학사,대출있음,없음,231,0,no,131
30,회사원,결혼,전문학교,없음,없음,316,0,no,132
30,산업노동자,결혼,고졸,없음,없음,240,0,no,133
30,회사원,결혼,전문학교,없음,없음,669,0,no,134
20,서비스종사자,미혼,전문학교,대출있음,없음,425,0,no,135
30,산업노동자,결혼,고졸,대출있음,없음,121,0,no,136
30,공무원,결혼,전문학교,대출있음,없음,174,0,no,137
50,자영업자,미혼,대졸학사,없음,대출있음,88,0,no,138
40,서비스종사자,결혼,전문학교,대출있음,없음,313,0,no,139
40,기업가,결혼,전문학교,대출있음,없음,135,0,no,140
40,기술자,미혼,석박사,대출있음,없음,152,0,no,141
30,산업노동자,미혼,전문학교,대출있음,대출있음,402,0,no,142
50,산업노동자,결혼,고졸,대출있음,없음,221,0,no,143
40,공무원,결혼,대졸학사,없음,없음,213,0,no,144
50,공무원,결혼,석박사,대출있음,없음,144,0,no,145
30,서비스종사자,미혼,전문학교,대출있음,없음,158,0,no,146
40,회사원,결혼,고졸,없음,없음,220,0,no,147
50,미확인,결혼,미확인,대출있음,없음,325,0,no,148
50,산업노동자,이혼,중졸,대출있음,없음,254,0,no,149
50,기술자,결혼,전문학교,대출있음,없음,503,0,no,150
50,서비스종사자,이혼,석박사,없음,없음,680,0,no,151
40,산업노동자,미혼,고졸,대출있음,없음,421,0,no,152
30,기업가,결혼,대졸학사,대출있음,없음,130,0,no,153
50,산업노동자,결혼,중졸,없음,없음,164,0,no,154
40,산업노동자,결혼,검정고시,없음,없음,174,0,no,155
50,기술자,결혼,석박사,없음,없음,113,0,no,156
30,공무원,결혼,대졸학사,없음,없음,195,0,no,157
30,서비스종사자,결혼,전문학교,대출있음,없음,347,0,no,158
50,회사원,결혼,대졸학사,대출있음,없음,208,0,no,159
40,미취업자,미혼,대졸학사,없음,없음,404,0,no,160
30,산업노동자,미혼,전문학교,없음,없음,396,0,no,161
30,산업노동자,결혼,고졸,없음,없음,98,0,no,162
30,서비스종사자,결혼,중졸,없음,없음,229,0,no,163
50,기업가,결혼,중졸,대출있음,없음,350,0,no,164
40,미취업자,이혼,전문학교,없음,없음,88,0,no,165
50,공무원,결혼,대졸학사,대출있음,없음,379,0,no,166
40,기술자,결혼,전문학교,대출있음,없음,168,0,no,167
40,산업노동자,결혼,중졸,대출있음,없음,190,0,no,168
40,회사원,결혼,대졸학사,대출있음,없음,158,0,no,169
30,기술자,결혼,대졸학사,없음,없음,210,0,no,170
40,자영업자,결혼,전문학교,대출있음,없음,102,0,no,171
50,회사원,이혼,고졸,없음,없음,306,0,no,172
40,산업노동자,결혼,고졸,대출있음,없음,64,0,no,173
50,공무원,이혼,전문학교,없음,없음,218,0,no,174
30,산업노동자,결혼,고졸,없음,없음,77,0,no,175
30,산업노동자,결혼,고졸,없음,대출있음,54,0,no,176
40,회사원,미혼,전문학교,대출있음,없음,344,0,no,177
20,산업노동자,미혼,고졸,대출있음,없음,195,0,no,178
40,서비스종사자,결혼,전문학교,없음,없음,202,0,no,179
40,산업노동자,결혼,미확인,없음,없음,286,0,no,180
40,기술자,결혼,검정고시,대출있음,없음,278,0,no,181
30,회사원,미혼,대졸학사,없음,없음,189,0,no,182
30,회사원,결혼,고졸,없음,없음,83,0,no,183
40,회사원,결혼,대졸학사,대출있음,대출있음,18,0,no,184
30,산업노동자,미혼,미확인,없음,없음,184,0,no,185
30,회사원,결혼,고졸,대출있음,없음,235,0,no,186
30,공무원,미혼,대졸학사,없음,없음,290,0,no,187
30,학생,미혼,미확인,없음,없음,133,0,no,188
50,공무원,결혼,중졸,대출있음,대출있음,318,0,no,189
50,공무원,결혼,중졸,미확인,미확인,437,0,no,190
40,자영업자,결혼,대졸학사,없음,없음,402,0,no,191
40,주부,결혼,검정고시,대출있음,대출있음,501,0,no,192
20,미확인,미혼,미확인,대출있음,대출있음,1201,0,yes,193
40,서비스종사자,결혼,전문학교,대출있음,없음,1030,0,yes,194
50,은퇴,미확인,대졸학사,없음,없음,253,0,no,195
50,공무원,결혼,전문학교,없음,없음,149,0,no,196
30,회사원,결혼,대졸학사,없음,없음,144,0,no,197
40,회사원,결혼,전문학교,없음,없음,69,0,no,198
40,회사원,결혼,고졸,없음,없음,243,0,no,199
30,기술자,결혼,석박사,없음,없음,769,0,no,200
50,서비스종사자,결혼,전문학교,없음,없음,135,0,no,201
20,산업노동자,이혼,중졸,없음,없음,231,0,no,202
40,자영업자,결혼,대졸학사,대출있음,대출있음,442,0,no,203
40,산업노동자,결혼,고졸,없음,없음,199,0,no,204
50,서비스종사자,미혼,전문학교,없음,없음,455,0,no,205
40,서비스종사자,결혼,전문학교,미확인,미확인,152,0,no,206
30,산업노동자,결혼,전문학교,대출있음,없음,124,0,no,207
40,미취업자,결혼,대졸학사,대출있음,없음,424,0,no,208
30,산업노동자,결혼,중졸,없음,없음,43,0,no,209
40,기업가,결혼,대졸학사,대출있음,없음,154,0,no,210
50,서비스종사자,이혼,검정고시,없음,없음,393,0,no,211
30,회사원,결혼,전문학교,대출있음,없음,203,0,no,212
30,서비스종사자,결혼,전문학교,없음,대출있음,140,0,no,213
40,산업노동자,결혼,고졸,대출있음,없음,326,0,no,214
40,회사원,결혼,전문학교,없음,없음,483,0,no,215
50,기술자,결혼,중졸,없음,대출있음,259,0,no,216
30,산업노동자,결혼,고졸,없음,없음,227,0,no,217
50,은퇴,미확인,중졸,없음,없음,673,0,no,218
40,기업가,결혼,중졸,대출있음,없음,576,0,no,219
50,산업노동자,결혼,중졸,대출있음,대출있음,180,0,no,220
30,자영업자,미혼,고졸,대출있음,대출있음,90,0,no,221
40,회사원,결혼,전문학교,없음,없음,505,0,no,222
20,서비스종사자,결혼,전문학교,대출있음,없음,245,0,no,223
30,기술자,미혼,대졸학사,대출있음,없음,186,0,no,224
50,산업노동자,결혼,중졸,대출있음,없음,208,0,no,225
40,기업가,결혼,중졸,없음,없음,623,0,no,226
40,산업노동자,결혼,중졸,없음,없음,180,0,no,227
30,공무원,결혼,대졸학사,없음,없음,496,0,no,87
30,산업노동자,결혼,중졸,대출있음,없음,118,0,no,88
40,산업노동자,결혼,고졸,없음,없음,102,0,no,89
50,공무원,결혼,검정고시,없음,없음,342,0,no,90
40,기술자,결혼,석박사,대출있음,없음,225,0,no,91
50,미확인,결혼,미확인,대출있음,없음,185,0,no,92
30,서비스종사자,결혼,전문학교,없음,없음,276,0,no,93
40,자영업자,이혼,대졸학사,없음,없음,87,0,no,94
40,자영업자,결혼,고졸,없음,없음,744,0,no,95
30,자영업자,미혼,대졸학사,대출있음,없음,262,0,no,96
20,서비스종사자,미혼,석박사,대출있음,대출있음,271,0,no,97
50,서비스종사자,결혼,미확인,없음,없음,141,0,no,98
30,기술자,결혼,석박사,대출있음,없음,198,0,no,99
40,주부,결혼,고졸,대출있음,없음,150,0,no,100
30,산업노동자,결혼,석박사,없음,없음,241,0,no,101
40,회사원,이혼,대졸학사,없음,없음,196,0,no,102
40,공무원,결혼,미확인,대출있음,없음,149,0,no,103
40,기술자,결혼,석박사,없음,대출있음,264,0,no,104
20,주부,결혼,대졸학사,없음,없음,246,0,no,105
30,산업노동자,이혼,고졸,없음,없음,309,0,no,106
40,공무원,결혼,대졸학사,대출있음,없음,140,0,no,107
30,회사원,결혼,고졸,없음,없음,175,0,no,108
40,산업노동자,결혼,미확인,없음,없음,136,0,no,109
40,기술자,결혼,석박사,없음,없음,1623,0,yes,110
50,기술자,결혼,중졸,없음,대출있음,50,0,no,111
50,기술자,결혼,중졸,없음,없음,101,0,no,112
